Description,TotalSalesDollars,ProfitMargin
Almaden Pnt Grigio B/B,5560.709999999986,32.02306899658484
Alpataco Malbec,575.64,32.45778611632271
Alpataco Pnt Nr,735.5400000000001,47.48348152377846
Alphonse Dolly Pouilly-Fume,1914.1600000000003,14.202574497429698
Alta Classe Mntplcno Abruzzo,327.5900000000001,60.73140205744988
Alta Vista Malbec Mendoza,137.88,42.81984334203655
Altadonna Nero D'Avola,1594.8600000000008,86.8678128487767
Altadonna Vermentino,530.4100000000001,96.49327878433664
Alter Ego de Palmer Mrgx 11,2240.73,73.37296327536116
Alto Ego De Palmer Margaux,2665.689999999999,97.91873773769643
Altocedro Finca Tanos Malbec,1783.9500000000007,23.95022282014632
Altocedro Malbec Reserva,239.92,31.043681227075687
Alverez de Toledo Godello,2115.99,40.15567181319381
Alverez de Toledo Mencia Rbl,5350.839999999962,36.64770391190873
Amadeo Chianti,191.76,31.53942428035044
Amapola Creek 09 Cab Svgn,2507.5599999999986,82.33900684330582
Amaretto di Amore VAP,9650.349999999962,5.744040371592156
Amaro Sfumato Rabarbaro,43.98,21.282401091405184
Ame Neyers Cab Svgn Napa,1999.75,31.130391298912375
Americano Petite Syrah,1560.1200000000001,30.774555803399746
Amrut Fusion Single Malt,5384.189999999993,90.64297508074564
Anakota 11 Helena Montana CS,1919.76,18.351773138308953
Anakota Cab Svgn Helena Dako,1359.83,37.809137906944244
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,323.73,85.28403299045502
Anderra Cab Svgn,4374.209999999973,45.41551503014223
Anderra Carmenere,107.88,32.92547274749722
Anderra Svgn Bl,5655.799999999953,39.362247604228756
Andre Moscato,558.04,23.44634793204789
Andre Pink Moscato,240.57999999999998,20.09310832155623
Andre Spumante Calif,2295.1499999999983,34.04875498333439
Andrew Will Two Blondes WA,803.88,33.333333333333336
AnestasiA Vodka,7990.389999999973,68.4721271427301
Angela Yamhill-Carlton Pnt N,1072.71,19.389210504236935
Angeline Chard Cal,217.76000000000002,18.497428361498912
Angeline Svgn Bl RRV,255.15,34.15637860082305
Angelini Sangiovese Pesaresi,1888.8100000000006,38.052530429212055
Angels Envy Hanover Chop,275.94,23.070232659273753
Angels Landing Cab Svgn,4817.589999999982,22.404355704823043
Angoves Nine Vines Moscato,395.67,2.289786943665176
Anna de Codorniu Brut Rose,191.88,34.64665415884928
Annabella Cab Svgn Napa,1039.3500000000001,24.600952518400938
Antech Limoux Brut,1618.6500000000008,0.9174311926606147
Anterra Chardonnay,4634.199999999973,91.84325234128863
Anthology Conn Crk Cab Napa,4164.939999999997,23.311020086723854
Antica Cab Svgn Napa Valley,2791.3999999999987,21.007379809414594
Antica Chard Napa Valley,1193.6200000000001,31.12380824718085
Antica Fratta Franciacorta B,6680.3799999999765,44.51872498271036
Antico Colle Chianti Colli,263.76,33.75796178343949
Antigal Uno Cab Mendza,782.5200000000002,72.64478863160046
Antinori Badia Chianti Clsc,455.88000000000005,28.737825743616746
Antinori Bolgheri Guado,5948.389999999995,56.80242889252383
Antinori Brnllo Mntlcno Pain,1413.74,50.89196033216857
Antinori Cervaro della Salla,271.92,37.65813474551339
Antinori Orvieto Clsc Campo,8881.819999999943,42.3595614412358
Antinori Tignanello,9115.969999999992,48.2827389734718
Antiquary 12 Yr Old Scotch,134.94,24.23299244108493
Anton Bauer Gmork Rose,167.88,34.66761972837741
Apaltagua Envero Gran Rsv,750.5,8.892738174550301
Apaltagua Rose Carmenere,7671.019999999938,30.45592372331138
